id,freq_low,gain_low,q_low,freq_mid,gain_mid,q_mid,freq_high,gain_high,q_high
000000.npy,158.7904989515988,3.370564541988786,0.9347533505265356,2084.695784952303,5.32197328510844,1.835087873559649,11968.039889270105,-6.881432231288207,0.5089604215660253
000001.npy,67.84747312738688,7.281817991930032,0.6791507513580433,1224.929434296335,5.253177225296305,2.6681605586920045,11283.574257171678,2.3646741270340943,0.8574823854025163
000002.npy,87.99468062347736,-1.7631408039892609,0.995353573962123,1926.7530071496228,1.4629058236728625,0.9443509830432597,14208.794805862412,-5.408158419221429,0.8851240433724835
000003.npy,294.6066732821795,-7.314633178467931,1.304775974671071,1277.2837404968932,3.0489710595626427,2.7848649799754703,13937.974093151146,-4.504340191668886,0.8532812463107935
000004.npy,122.38796945516029,5.031520831220842,1.2258019635843507,1184.3536492842331,-1.1504481830650253,3.196262999637845,9448.354818994469,7.450809377922653,0.6060924871146476
000005.npy,207.14682008951888,-3.5348659843531163,1.2716699608107747,603.705197564075,2.5526945184626495,0.7299648126747929,12700.907201669675,2.5704418881193423,1.269699253048239
000006.npy,194.9984680396472,-7.395827238647231,0.8124344575656466,847.7028194343013,2.6170341357898046,3.9399217919743754,5930.206009771615,7.21715485501664,1.4472897355504037
000007.npy,137.88531454714126,6.855696122590514,0.9344085680977261,2920.6467432433783,-5.915763354849435,1.6605273141885293,15354.299678468611,-2.0982647423662044,0.7561034229053472
000008.npy,159.57160492676246,3.2055411486857466,1.358455652842485,2945.8362610329186,-3.714642186104451,3.2286000231014644,7744.627817394599,-7.449596666049414,0.7710504259194102
000009.npy,295.8741649695455,2.866886397048706,0.8656920758363258,2599.810334889045,-5.794309221389627,2.588116483323737,8180.550325253301,0.7549945008109731,1.8650753441832935
000010.npy,272.9591055955658,1.1572995536859985,0.7728748905134482,1364.5722206529238,-2.4910375034162726,1.6487943471622097,13392.952559322448,-7.98577279680919,1.2594298261831427
